ID	Age	Expertise	CS_background	LifeSciences_background	Knowledge_Graphs	AI_Systems	Molecular_Biology	Persona
jaG0bJE	30-34	Biochemistry	Some Knowledge 	PhD level or 10+ years	Novice	Novice	Expert	Leo
RG8jBkK	30-34	Animal Cell Technology	Some Knowledge 	PhD level or 10+ years	Novice	Novice	Expert	Leo
GxY7xlz	25-29	Pharmacy	Some Knowledge 	MSc level or 5+ years	No Knowledge	No Knowledge	Competent	Leo
7R4P2W2	30-34	Biological Engineering	Some Knowledge 	MSc level or 5+ years	Novice	Novice	Competent	Leo
1AG5kRg	45-54	Microbiology	Some Knowledge 	PhD level or 10+ years	No Knowledge	Novice	Competent	Leo
VLoAdx6	25-29	Microbiology	Some Knowledge 	MSc level or 5+ years	No Knowledge	No Knowledge	Expert	Leo
OD8erxa	25-29	Bioinformatics, Computer Science	MSc level or 5+ years	BSc level or 3+ years	Expert	Expert	Novice	Leo
rj2RGXo	40-44	Computer Science	PhD level or 10+ years	Some Knowledge 	Competent	Competent	Novice	Leo
rj2zk8L	20-24	Forensic Science	No Knowledge	MSc level or 5+ years	Novice	No Knowledge	Novice	Leo
aQKNQzy	25-29	Bioinformatics	Some Knowledge 	MSc level or 5+ years	Novice	Novice	Competent	Leo
aQKN9NB	25-29	Data Analytics	MSc level or 5+ years	BSc level or 3+ years	No Knowledge	Novice	Novice	Leo
PdvD761	25-29	Health and Bioinformatics	PhD level or 10+ years	BSc level or 3+ years	Expert	Competent	Novice	Leo
J9828VY	30-34	Biochemistry, Computer Science	MSc level or 5+ years	MSc level or 5+ years	Expert	Competent	Competent	Elena
gDWkZrM	40-44	Biotechnology	MSc level or 5+ years	PhD level or 10+ years	Novice	Competent	Expert	Elena
aQZvLXb	25-29	Biotechnology	Some Knowledge 	PhD level or 10+ years	Expert	Novice	Expert	Elena
Ek8EQlo	25-29	Biochemistry and Biotechnology	No Knowledge	PhD level or 10+ years	Competent	Novice	Competent	Elena
81jgkVP	25-29	Biochemistry	Some Knowledge 	MSc level or 5+ years	Novice	Novice	Competent	Elena
b5NEv6Z	25-29	Marine Biology	Some Knowledge 	MSc level or 5+ years	Novice	Novice	Competent	Elena
44PDZqb	25-29	Biomedical Engineering	Some Knowledge 	MSc level or 5+ years	Novice	Novice	Competent	Elena
lbVE05k	25-29	Veterinary Medicine	MSc level or 5+ years	MSc level or 5+ years	Novice	Novice	Competent	Elena
OD8R9R7	40-44	Computer Science	PhD level or 10+ years	PhD level or 10+ years	Expert	Competent	Competent	Elena
oblXKeO	20-24	Medicine	No Knowledge	BSc level or 3+ years	Novice	No Knowledge	Novice	Elena
